id	hotCode	name	category	defaultDose	unit	route	isInjectable	majorCategory	subCategory
cmtgz3hyq07rqhgyng4ev87k0	116301804	オメプラゾール錠20mg		1錠		内服	FALSE	消化性潰瘍治療薬	プロトンポンプ阻害薬(PPI)
cmtgz3hyq07rrhgyn5b06k8mi	116302501	オメプラゾール錠「トーワ」10mg		1錠		内服	FALSE	消化性潰瘍治療薬	プロトンポンプ阻害薬(PPI)
cmtgz3hyq07rshgynsxkwjm3p	116303201	オメプラゾール錠「トーワ」20mg		1錠		内服	FALSE	消化性潰瘍治療薬	プロトンポンプ阻害薬(PPI)
cmtgz3hyq07rthgyn8tud7m3w	116306301	オメプラゾール錠10mg		1錠		内服	FALSE	消化性潰瘍治療薬	プロトンポンプ阻害薬(PPI)
cmtgz3hyq07ruhgyn8gw0nuwx	116330802	球形吸着炭カプセル286mg		1カプセル		内服	FALSE		
cmtgz3hyq07rvhgynkg5twnaa	116331502	球形吸着炭細粒分包2g		1g		内服	FALSE		
cmtgz3hyq07rwhgynu25avydi	116332201	ソロン細粒20%		1g		内服	FALSE		
cmtgz3hyq07rxhgynlfur5733	116333901	グリミクロンHA錠20mg		1錠		内服	FALSE		
cmtgz3hyq07ryhgyn9pk454bq	116334601	ミッドペリックL250腹膜透析液 2.5L		1袋		注射・点滴	TRUE	輸液	腹膜透析液
cmtgz3hyq07rzhgyn8qy6s2n0	116337701	アシクロビルシロップ8%		1mL		内服	FALSE	抗ウイルス薬	
cmtgz3hyq07s0hgyn2dzuk90o	116338401	ケフナン錠5mg		1錠		内服	FALSE		
cmtgz3hyq07s1hgynen6jdbfc	116341401	コカール錠200mg		1錠		内服	FALSE		
cmtgz3hyq07s2hgynvnb69bph	116342101	コカールドライシロップ40%		1g		内服	FALSE		
cmtgz3hyq07s3hgynn052kwdu	116346901	ザルトプロフェン錠80		1錠		内服	FALSE	解熱鎮痛薬	NSAIDs
cmtgz3hyq07s4hgynuf9mha7g	116347601	ジムロスト錠10mg		1錠		内服	FALSE		
cmtgz3hyq07s5hgyn72gfu2oy	116348301	ジムロスト錠20mg		1錠		内服	FALSE		
cmtgz3hyq07s6hgynhhmz5xqn	116349001	重曹錠500mg		1錠		内服	FALSE		
cmtgz3hyq07s7hgyn4g5dps7i	116349002	炭酸水素ナトリウム錠500mg		1錠		内服	FALSE		
cmtgz3hyq07s8hgyncqotabsr	116350601	ベイスンOD錠0.2		1錠		内服	FALSE		
cmtgz3hyq07s9hgyn8n22ko8b	116353701	シンバスタチン錠20mg		1錠		内服	FALSE	脂質異常症治療薬	スタチン系(HMG-CoA還元酵素阻害薬)
cmtgz3hyq07sahgynpei2rklo	116356802	セレニカR錠200mg		1錠		内服	FALSE		
cmtgz3hyq07sbhgyn8ndbdb8i	116358201	ソレング錠80		1錠		内服	FALSE		
cmtgz3hyq07schgynj4rfci2v	116359901	タツゾシン錠1mg		1錠		内服	FALSE		
cmtgz3hyq07sdhgynhppgriz9	116360501	タツゾシン錠2mg		1錠		内服	FALSE		
cmtgz3hyq07sehgyniieg56g8	116363601	テルグリド錠0.5		1錠		内服	FALSE		
cmtgz3hyq07sfhgyncx8sr1yx	116368102	イトラコナゾール錠50mg		1錠		内服	FALSE	抗真菌薬	
cmtgz3hyq07sghgyn4qzow0v4	116371101	ニフェジピンCR錠20mg		1錠		内服	FALSE		
cmtgz3hyq07shhgynaizgqv1m	116373501	ニカジルスL錠20		1錠		内服	FALSE		
cmtgz3hyq07sihgyns6sfj76q	116374201	ニカジルスL錠40		1錠		内服	FALSE		
cmtgz3hyq07sjhgyn2o08bcv6	116377302	乳石錠500mg		1錠		内服	FALSE		
cmtgz3hyq07skhgyn7avziwby	116378002	シクロスポリンカプセル10mg		1カプセル		内服	FALSE		
cmtgz3hyq07slhgyngdb2pnwg	116379701	バリブライトゾル180		10mL		内服	FALSE		
cmtgz3hyq07smhgyn8bka1aab	116386502	ファモチジンD錠20mg		1錠		内服	FALSE	消化性潰瘍治療薬	H2受容体拮抗薬
cmtgz3hyq07snhgynfm4ei706	116387201	プラテミール錠50		1錠		内服	FALSE		
cmtgz3hyq07sohgynb9jgrdxm	116392603	プリミドン細粒99.5%		1g		内服	FALSE		
cmtgz3hyq07sphgynuzlf374v	116393303	プリミドン錠250mg		1錠		内服	FALSE		
cmtgz3hyq07sqhgynhy53fhmh	116399501	プロルナー錠40μg		1錠		内服	FALSE		
cmtgz3hyq07srhgyne90ucexl	116402201	ペレトン錠80mg		1錠		内服	FALSE		
cmtgz3hyq07sshgyn2cbdixw1	116403901	ポトレンド配合散		1g		内服	FALSE		
cmtgz3hyq07sthgyndf568e8r	116404601	ポトレンド配合錠		1錠		内服	FALSE		
cmtgz3hyq07suhgyncsy9ztg0	116406001	マニカロット錠5mg		1錠		内服	FALSE		
cmtgz3hyq07svhgynqsybpvnh	116407701	マニカロット錠10mg		1錠		内服	FALSE		
cmtgz3hyq07swhgynxuj54un0	116408401	マニカロット錠20mg		1錠		内服	FALSE		
cmtgz3hyq07sxhgyn8oacq1dh	116413802	マルツエキス分包(高田)		1g		内服	FALSE	漢方薬・生薬	
cmtgz3hyq07syhgyng8u0bclt	116414501	ムコソルバンDS3%		1g		内服	FALSE		
cmtgz3hyq07szhgynehrwnjly	116418301	メシル酸ドキサゾシン錠1		1錠		内服	FALSE		
cmtgz3hyq07t0hgyn0grsfl29	116419001	メシル酸ドキサゾシン錠2		1錠		内服	FALSE		
cmtgz3hyq07t1hgynvo2gsgzc	116420602	ペルゴリド錠50μg		1錠		内服	FALSE		
cmtgz3hyq07t2hgynajryaajp	116421302	ペルゴリド錠250μg		1錠		内服	FALSE		
cmtgz3hyq07t3hgyn79n141gn	116422003	メトトレキサートカプセル2mg		1カプセル		内服	FALSE	抗悪性腫瘍薬・免疫抑制薬	代謝拮抗薬
cmtgz3hyq07t4hgyn158qyxan	116423701	メトリジンD錠2mg		1錠		内服	FALSE		
cmtgz3hyq07t5hgynymr00h0n	116424401	球形吸着炭カプセル200mg		1カプセル		内服	FALSE		
cmtgz3hyq07t6hgyngyokq9di	116425101	球形吸着炭細粒		1g		内服	FALSE		
cmtgz3hyq07t7hgyn6mwgtnxe	116426801	モミアロン錠10mg		1錠		内服	FALSE		
cmtgz3hyq07t8hgynstbpa46i	116427501	モミアロン錠20mg		1錠		内服	FALSE		
cmtgz3hyq07t9hgyn52sr8w8r	116429901	ラリルドン錠10mg		1錠		内服	FALSE		
cmtgz3hyq07tahgynik3zatop	116432901	リバレバン配合顆粒		1包		内服	FALSE		
cmtgz3hyq07tbhgyn6qq418sn	116438101	イオパミロン注300シリンジ 61.24%50mL		1筒		注射・点滴	TRUE	造影剤・放射性医薬品	ヨード造影剤
cmtgz3hyq07tchgyn1ar0vops	116442801	リドカイン塩酸塩注1% 1%5mL		1管		注射・点滴	TRUE	麻酔薬	局所麻酔薬
cmtgz3hyq07tdhgyn7acznotc	116443501	リドカイン塩酸塩注1% 1%10mL		1管		注射・点滴	TRUE	麻酔薬	局所麻酔薬
cmtgz3hyq07tehgyn5ozk298v	116444201	エルシトニン注20Sディスポ		1筒		注射・点滴	TRUE		
cmtgz3hyq07tfhgynwybkhr5n	116445901	塩酸ドパミン注キット200		1袋		注射・点滴	TRUE		
cmtgz3hyq07tghgyntlg1yq2s	116446601	塩酸ドパミン注キット600		1袋		注射・点滴	TRUE		
cmtgz3hyq07thhgyn6pgzx20s	116447301	塩酸ドブタミン注100mg		1管		注射・点滴	TRUE		
cmtgz3hyq07tihgyn75zxs61l	116448001	大塚生食注2ポート100mL		1キット		注射・点滴	TRUE	輸液	電解質輸液(細胞外液補充液)
cmtgz3hyq07tjhgynisjoyxe5	116449701	大塚糖液5%2ポート100mL		1キット		注射・点滴	TRUE	輸液	糖輸液
cmtgz3hyq07tkhgyn7lsdwvej	116450301	オザグレルNa静注液20mg		1管		注射・点滴	TRUE		
cmtgz3hyq07tlhgyn6knq6u9u	116451001	オザグレルNa静注液40mg		1管		注射・点滴	TRUE		
cmtgz3hyq07tmhgynssn33n9f	116452701	オザグレルNa静注液80mg		1管		注射・点滴	TRUE		
cmtgz3hyq07tnhgynjaboznjs	116454101	オザグレルNa点滴静注40mg 40mg2mL		1管		注射・点滴	TRUE		
cmtgz3hyq07tohgynqclc2xah	116455801	オザグレルNa注80mgシリンジ		1筒		注射・点滴	TRUE		
cmtgz3hyq07tphgynvenmdym9	116456501	グリセオール注 200mL		1袋		注射・点滴	TRUE		
cmtgz3hyq07tqhgyn7t4jf1b4	116457201	グリセオール注 300mL		1袋		注射・点滴	TRUE		
cmtgz3hyq07trhgyn9alukwxk	116458901	グリセオール注 500mL		1袋		注射・点滴	TRUE		
